concept_1,concept_2
4,1
15,1
17,1
18,1
20,1
23,1
25,1
26,1
27,1
28,1
29,1
30,1
32,1
33,1
34,1
35,1
39,1
40,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
50,1
51,1
53,1
54,1
56,1
57,1
59,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
71,1
72,1
74,1
75,1
78,1
79,1
82,1
84,1
86,1
89,1
90,1
91,1
92,1
93,1
94,1
96,1
97,1
100,1
4,2
15,2
17,2
18,2
20,2
23,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
39,2
40,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
50,2
51,2
52,2
53,2
54,2
56,2
57,2
59,2
60,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,2
74,2
78,2
79,2
82,2
84,2
86,2
89,2
90,2
91,2
92,2
93,2
94,2
96,2
97,2
99,2
100,2
28,3
31,3
32,3
40,3
45,3
57,3
60,3
65,3
67,3
71,3
74,3
2,4
15,4
17,4
18,4
20,4
23,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
39,4
40,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
50,4
51,4
52,4
53,4
54,4
56,4
57,4
59,4
60,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
78,4
79,4
81,4
82,4
84,4
86,4
89,4
90,4
91,4
92,4
93,4
94,4
96,4
97,4
99,4
100,4
101,4
65,5
11,6
12,6
40,6
64,6
65,6
72,6
74,6
4,8
15,8
18,8
23,8
28,8
32,8
34,8
35,8
39,8
42,8
44,8
45,8
47,8
48,8
50,8
51,8
54,8
57,8
59,8
62,8
63,8
65,8
67,8
68,8
71,8
72,8
74,8
75,8
78,8
79,8
82,8
86,8
89,8
92,8
93,8
96,8
97,8
99,8
100,8
44,9
46,9
56,9
74,9
100,9
4,10
12,10
15,10
18,10
20,10
23,10
26,10
27,10
28,10
29,10
30,10
31,10
32,10
33,10
39,10
40,10
42,10
44,10
45,10
50,10
51,10
54,10
56,10
57,10
62,10
65,10
66,10
67,10
71,10
74,10
78,10
79,10
81,10
82,10
86,10
89,10
92,10
93,10
96,10
99,10
6,11
65,11
6,12
11,12
65,12
6,13
65,13
11,14
44,14
65,14
66,14
2,15
4,15
17,15
18,15
20,15
23,15
26,15
27,15
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
39,15
40,15
42,15
43,15
44,15
45,15
46,15
47,15
48,15
50,15
51,15
52,15
53,15
54,15
56,15
57,15
59,15
60,15
62,15
63,15
64,15
65,15
66,15
67,15
68,15
69,15
70,15
71,15
72,15
73,15
74,15
75,15
78,15
79,15
81,15
82,15
84,15
86,15
89,15
90,15
91,15
92,15
93,15
94,15
96,15
97,15
99,15
100,15
101,15
2,16
4,16
15,16
17,16
20,16
23,16
26,16
28,16
29,16
30,16
32,16
33,16
34,16
39,16
40,16
42,16
43,16
44,16
46,16
47,16
50,16
51,16
54,16
56,16
57,16
59,16
60,16
62,16
63,16
64,16
65,16
66,16
67,16
71,16
72,16
73,16
75,16
78,16
81,16
82,16
86,16
89,16
92,16
94,16
96,16
97,16
100,16
2,17
4,17
15,17
18,17
20,17
23,17
26,17
27,17
28,17
29,17
30,17
31,17
34,17
35,17
39,17
45,17
47,17
48,17
50,17
52,17
54,17
56,17
57,17
59,17
60,17
62,17
63,17
64,17
65,17
66,17
69,17
70,17
71,17
72,17
