concept_1,concept_2
3,1
5,1
6,1
7,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
1,2
3,2
5,2
6,2
7,2
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
1,3
5,3
6,3
7,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
1,4
3,4
5,4
6,4
7,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
1,5
3,5
6,5
7,5
9,5
10,5
11,5
12,5
13,5
14,5
15,5
16,5
1,6
3,6
5,6
7,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
1,7
3,7
5,7
6,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
1,8
3,8
5,8
6,8
7,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
1,9
3,9
5,9
6,9
7,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
1,10
3,10
5,10
6,10
7,10
9,10
11,10
12,10
13,10
14,10
15,10
16,10
1,11
3,11
5,11
6,11
7,11
9,11
10,11
12,11
13,11
14,11
15,11
16,11
1,12
3,12
5,12
6,12
7,12
9,12
10,12
11,12
13,12
14,12
15,12
16,12
1,13
3,13
5,13
6,13
7,13
9,13
10,13
11,13
12,13
14,13
15,13
16,13
1,14
3,14
5,14
6,14
7,14
9,14
10,14
11,14
12,14
13,14
15,14
16,14
1,15
3,15
5,15
6,15
7,15
9,15
10,15
11,15
12,15
13,15
14,15
16,15
1,16
3,16
5,16
6,16
7,16
9,16
10,16
11,16
12,16
13,16
14,16
15,16
