knowledge_code,parent
1,2
1,5
1,17
1,19
1,33
1,36
1,49
1,50
1,52
1,54
1,61
1,62
1,63
1,66
1,68
1,73
1,74
1,78
1,96
1,97
1,100
1,102
1,103
1,104
1,110
2,1
2,5
2,36
2,49
2,50
2,52
2,62
2,63
2,66
2,73
2,78
2,96
2,97
2,100
2,103
3,1
3,2
3,5
3,34
3,44
3,45
3,61
3,62
3,63
3,64
3,68
3,74
3,95
3,97
4,1
4,2
4,5
4,19
4,34
4,36
4,62
4,63
4,64
4,66
4,68
4,75
4,95
4,97
4,103
5,1
5,2
5,17
5,25
5,30
5,45
5,49
5,50
5,61
5,62
5,63
5,68
5,74
5,75
5,78
5,95
5,96
5,97
5,100
5,102
5,104
6,1
6,2
6,97
7,1
9,34
9,36
9,40
9,50
9,68
9,74
9,75
9,78
9,95
9,96
9,100
9,103
10,17
10,110
11,17
12,17
12,68
12,104
13,52
13,68
13,96
13,104
14,17
14,104
15,68
15,104
16,1
16,17
16,19
16,33
16,36
16,44
16,45
16,49
16,50
16,52
16,66
16,68
16,73
16,74
16,75
16,78
16,95
16,96
16,97
16,100
16,104
17,5
17,30
17,40
17,44
17,45
17,52
17,61
17,66
17,75
17,78
17,96
17,97
17,100
17,102
18,16
18,25
18,43
18,48
18,73
18,78
18,90
19,1
19,16
19,33
19,36
19,49
19,50
19,52
19,61
19,68
19,73
19,75
19,78
19,96
19,97
19,103
19,104
20,5
20,19
20,33
20,36
20,73
20,102
21,17
21,36
21,40
21,44
21,45
21,50
21,52
21,68
21,74
21,75
21,78
21,95
21,96
21,100
21,103
23,17
23,19
23,30
23,36
23,40
23,44
23,45
23,61
23,68
23,74
23,75
23,95
23,100
23,103
24,1
24,2
24,5
24,19
24,33
24,34
24,36
24,50
24,52
24,61
24,63
24,68
24,74
24,75
24,97
24,100
24,104
25,1
25,2
25,16
25,19
25,33
25,50
25,66
25,68
25,73
25,74
25,75
25,78
25,97
25,100
26,73
28,36
28,95
29,1
29,2
29,5
29,36
29,61
29,68
29,97
29,102
29,103
30,17
30,75
31,61
31,104
32,16
