item_id,knowledge_code
1,"[4, 69]"
2,"[93, 69]"
3,"[4, 69]"
4,"[4, 78]"
5,"[93, 69]"
6,[27]
7,[96]
8,[96]
9,[96]
10,[40]
11,[40]
12,[65]
13,"[65, 78]"
14,"[65, 78]"
15,"[40, 78]"
16,[65]
17,[65]
18,[65]
19,[65]
20,[40]
21,[65]
22,"[65, 97]"
23,"[65, 97]"
24,"[65, 69]"
25,"[65, 69]"
26,[40]
27,[65]
28,[65]
29,[65]
30,[65]
31,[65]
32,"[65, 86]"
33,"[65, 86]"
34,"[65, 86]"
35,"[40, 86]"
36,"[65, 86]"
37,"[65, 86]"
38,"[65, 86]"
39,"[65, 86]"
40,"[64, 86]"
41,[40]
42,[40]
43,[40]
44,[40]
45,[40]
46,"[40, 29]"
47,"[40, 61]"
48,"[40, 29]"
49,"[40, 35]"
50,"[40, 29]"
51,"[30, 29]"
52,[30]
53,[30]
54,[30]
55,[30]
56,"[30, 94]"
57,"[56, 98]"
58,"[91, 46]"
59,"[56, 46]"
60,[91]
61,[30]
62,[40]
63,[2]
64,[2]
65,[2]
66,[2]
67,[40]
68,[28]
69,[40]
70,"[40, 98]"
71,"[40, 94]"
72,"[40, 94]"
73,"[40, 101]"
74,"[40, 101]"
75,"[40, 66]"
76,"[45, 66]"
77,[45]
78,[45]
79,[45]
80,"[65, 28]"
81,"[65, 67]"
82,"[65, 67]"
83,"[65, 28]"
84,"[65, 28]"
85,[91]
86,[91]
87,[91]
88,[91]
89,[65]
90,[65]
91,[65]
92,[65]
93,[91]
94,[91]
95,[91]
96,[91]
97,[65]
98,[65]
99,[65]
100,[65]
101,[91]
102,[91]
103,[91]
104,[91]
105,[65]
106,[65]
107,[65]
108,"[65, 86]"
109,"[65, 86]"
110,"[65, 86]"
111,"[65, 86]"
112,"[65, 86]"
113,"[26, 86]"
114,"[26, 86]"
115,"[26, 86]"
116,"[26, 74]"
117,"[26, 74]"
118,[65]
119,[65]
120,[91]
121,[91]
122,[91]
123,[65]
124,[65]
125,"[75, 65]"
126,"[75, 65]"
127,"[75, 65]"
128,"[65, 75]"
129,"[65, 75]"
130,"[65, 15]"
131,"[65, 68]"
132,"[65, 15]"
133,"[65, 15]"
134,"[65, 15]"
135,[65]
136,[65]
137,[65]
138,"[91, 65]"
139,"[91, 65]"
140,[65]
141,[65]
142,[65]
143,[65]
144,"[91, 65]"
145,[91]
146,[65]
147,[65]
148,[26]
149,[65]
150,[65]
151,[65]
152,[65]
153,[65]
154,[4]
155,[65]
156,[91]
157,[91]
158,[65]
159,[56]
160,[4]
161,"[65, 23]"
162,"[65, 23]"
163,"[65, 23]"
164,"[65, 23]"
165,[65]
166,[65]
167,[65]
168,[65]
169,"[4, 15]"
170,"[96, 68]"
171,"[4, 68]"
172,"[27, 15]"
173,"[40, 78]"
174,"[65, 78]"
175,"[65, 78]"
176,"[96, 78]"
177,[96]
178,[40]
179,[40]
180,[28]
181,"[28, 99]"
182,"[96, 99]"
183,"[96, 99]"
184,[40]
185,[65]
186,[65]
187,[65]
188,[65]
189,[65]
190,[65]
191,[65]
192,[3]
193,[38]
194,[41]
195,[45]
196,[45]
197,[45]
198,"[45, 72]"
199,"[45, 72]"
200,"[45, 72]"
201,"[45, 72]"
202,"[72, 45]"
203,"[45, 72]"
204,[45]
205,[45]
206,[45]
207,[45]
208,[45]
209,[45]
210,[45]
211,"[45, 94]"
212,"[45, 93]"
213,"[42, 93]"
214,[42]
215,[42]
216,[42]
217,"[42, 40]"
218,"[42, 40]"
219,"[42, 40]"
220,"[42, 40]"
221,"[42, 40]"
222,[42]
223,[42]
224,[42]
225,[45]
226,[45]
227,[42]
228,[42]
229,[42]
230,"[45, 65]"
231,"[45, 65]"
232,"[45, 65]"
233,"[42, 65]"
234,"[42, 65]"
235,"[45, 65]"
236,"[42, 65]"
237,"[42, 65]"
238,[42]
239,[45]
240,[42]
241,[42]
242,[42]
243,[42]
244,"[45, 94]"
245,"[42, 98]"
246,"[64, 94]"
247,[42]
248,[45]
249,[96]
250,[96]
251,[96]
252,[96]
253,[96]
254,[91]
255,[96]
256,[96]
257,[96]
258,[96]
259,[96]
260,[96]
261,[96]
262,[40]
263,[40]
264,[40]
265,[40]
266,[40]
267,[15]
268,[15]
269,[15]
270,[19]
271,[15]
272,[100]
273,[100]
274,[15]
275,[15]
276,[76]
277,[24]
278,[24]
279,[96]
280,[96]
281,[96]
282,[96]
283,[96]
284,[96]
285,[96]
286,[96]
287,[30]
288,[56]
289,[91]
290,[56]
291,[91]
292,[30]
293,[92]
294,[92]
295,[92]
296,[93]
297,[92]
298,[92]
299,[92]
300,[92]
301,[92]
302,[92]
303,[92]
304,[92]
305,[92]
306,[92]
307,[92]
308,[92]
309,[92]
310,[40]
311,[40]
312,[40]
313,[96]
314,[96]
315,[96]
316,[96]
317,[62]
318,[89]
319,[89]
320,[89]
321,[89]
322,[62]
323,[62]
324,"[89, 96]"
325,"[89, 96]"
326,"[89, 96]"
327,"[40, 96]"
328,"[72, 96]"
329,[72]
330,[65]
331,[40]
332,[27]
333,"[27, 4]"
334,"[27, 4]"
335,"[40, 4]"
336,[4]
337,"[4, 89]"
