item_id,knowledge_code
1,"[4, 1, 2]"
2,"[4, 1, 2]"
3,"[4, 1, 2]"
4,"[5, 1, 2]"
5,"[5, 1, 2]"
6,"[5, 1, 2]"
7,"[6, 1, 2]"
8,"[6, 1, 2]"
9,"[6, 1, 2]"
10,"[7, 1, 2]"
11,"[7, 1, 2]"
12,"[7, 1, 2]"
13,"[8, 1, 2]"
14,"[8, 1, 2]"
15,"[8, 1, 2]"
16,"[9, 1, 2]"
17,"[9, 1, 2]"
18,"[9, 1, 2]"
19,"[10, 1, 2]"
20,"[10, 1, 2]"
21,"[10, 1, 2]"
22,"[11, 1, 2]"
23,"[11, 1, 2]"
24,"[11, 1, 2]"
25,"[12, 1, 2]"
26,"[12, 1, 2]"
27,"[12, 1, 2]"
28,"[13, 1, 2]"
29,"[13, 1, 2]"
30,"[13, 1, 2]"
31,"[14, 1, 3]"
32,"[14, 1, 3]"
33,"[14, 1, 3]"
34,"[15, 1, 3]"
35,"[15, 1, 3]"
36,"[15, 1, 3]"
37,"[16, 1, 3]"
38,"[16, 1, 3]"
39,"[16, 1, 3]"
40,"[17, 1, 3]"
41,"[17, 1, 3]"
42,"[17, 1, 3]"
43,"[18, 1, 3]"
44,"[18, 1, 3]"
45,"[18, 1, 3]"
46,"[19, 1, 3]"
47,"[19, 1, 3]"
48,"[19, 1, 3]"
49,"[20, 1, 3]"
50,"[20, 1, 3]"
51,"[20, 1, 3]"
52,"[21, 1, 3]"
53,"[21, 1, 3]"
54,"[21, 1, 3]"
55,"[22, 1, 3]"
56,"[22, 1, 3]"
57,"[22, 1, 3]"
58,"[23, 1, 3]"
59,"[23, 1, 3]"
60,"[23, 1, 3]"
61,"[28, 24, 25]"
62,"[28, 24, 25]"
63,"[29, 24, 25]"
64,"[29, 24, 25]"
65,"[30, 24, 25]"
66,"[30, 24, 25]"
67,"[31, 24, 25]"
68,"[31, 24, 25]"
69,"[32, 24, 25]"
70,"[32, 24, 25]"
71,"[33, 24, 25]"
72,"[33, 24, 25]"
73,"[34, 24, 25]"
74,"[34, 24, 25]"
75,"[35, 24, 25]"
76,"[35, 24, 25]"
77,"[36, 24, 25]"
78,"[36, 24, 25]"
79,"[37, 24, 26]"
80,"[37, 24, 26]"
81,"[38, 24, 26]"
82,"[38, 24, 26]"
83,"[39, 24, 26]"
84,"[39, 24, 26]"
85,"[40, 24, 26]"
86,"[40, 24, 26]"
87,"[41, 24, 26]"
88,"[41, 24, 26]"
89,"[42, 24, 26]"
90,"[42, 24, 26]"
91,"[43, 24, 26]"
92,"[43, 24, 26]"
93,"[44, 24, 26]"
94,"[44, 24, 26]"
95,"[45, 24, 26]"
96,"[45, 24, 26]"
97,"[46, 24, 26]"
98,"[46, 24, 26]"
99,"[29, 24, 25]"
100,"[29, 24, 25]"
101,"[47, 24, 25]"
102,"[47, 24, 25]"
103,"[48, 24, 25]"
104,"[48, 24, 25]"
105,"[49, 24, 25]"
106,"[49, 24, 25]"
107,"[50, 24, 25]"
108,"[50, 24, 25]"
109,"[51, 24, 25]"
110,"[51, 24, 25]"
111,"[52, 24, 25]"
112,"[52, 24, 25]"
113,"[53, 24, 25]"
114,"[53, 24, 25]"
115,"[54, 24, 26]"
116,"[54, 24, 26]"
117,"[55, 24, 26]"
118,"[55, 24, 26]"
119,"[56, 24, 26]"
120,"[56, 24, 26]"
121,"[57, 24, 26]"
122,"[57, 24, 26]"
123,"[58, 24, 26]"
124,"[58, 24, 26]"
125,"[59, 24, 26]"
126,"[59, 24, 26]"
127,"[60, 24, 26]"
128,"[60, 24, 26]"
129,"[61, 24, 26]"
130,"[61, 24, 26]"
131,"[62, 24, 26]"
132,"[62, 24, 26]"
133,"[63, 24, 26]"
134,"[63, 24, 26]"
135,"[30, 24, 25]"
136,"[30, 24, 25]"
137,"[48, 24, 25]"
138,"[48, 24, 25]"
139,"[64, 24, 25]"
140,"[64, 24, 25]"
141,"[65, 24, 25]"
142,"[65, 24, 25]"
143,"[66, 24, 25]"
144,"[66, 24, 25]"
145,"[67, 24, 25]"
146,"[67, 24, 25]"
147,"[68, 24, 25]"
148,"[68, 24, 25]"
149,"[69, 24, 26]"
150,"[69, 24, 26]"
151,"[70, 24, 26]"
152,"[70, 24, 26]"
153,"[71, 24, 26]"
154,"[71, 24, 26]"
155,"[72, 24, 26]"
156,"[72, 24, 26]"
157,"[73, 24, 26]"
158,"[73, 24, 26]"
159,"[74, 24, 26]"
160,"[74, 24, 26]"
