knowledge_code,parent
2,1
3,1
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
25,24
26,24
27,24
28,25
29,25
30,25
31,25
32,25
33,25
34,25
35,25
36,25
37,26
38,26
39,26
40,26
41,26
42,26
43,26
44,26
45,26
46,26
47,25
48,25
49,25
50,25
51,25
52,25
53,25
54,26
55,26
56,26
57,26
58,26
59,26
60,26
61,26
62,26
63,26
64,25
65,25
66,25
67,25
68,25
69,26
70,26
71,26
72,26
73,26
74,26
75,26
76,26
77,26
78,26
79,25
80,25
81,25
82,26
83,26
84,26
85,26
86,26
87,26
88,26
89,26
90,26
91,26
92,25
93,26
94,26
95,26
96,26
97,26
98,26
99,26
100,26
101,26
102,26
103,26
104,26
105,26
106,26
107,26
108,26
109,26
110,26
111,26
112,26
113,26
114,26
115,26
116,26
117,26
118,26
119,26
120,26
121,26
122,26
123,26
124,26
125,26
126,26
127,26
129,128
130,128
131,129
132,129
133,129
134,129
135,129
136,129
137,129
138,129
139,129
140,129
141,129
142,129
143,129
144,129
145,129
146,129
147,129
148,129
149,129
150,129
151,129
152,129
153,129
154,129
155,129
156,129
157,129
158,129
159,129
160,129
161,129
162,129
163,129
164,129
165,129
166,129
167,129
168,129
169,129
170,129
171,129
172,129
173,129
174,129
175,129
176,129
177,129
178,129
179,129
180,129
181,129
182,129
183,129
184,129
185,129
187,186
188,187
189,187
190,187
191,187
192,187
193,187
194,187
195,187
196,187
197,187
198,187
199,187
200,187
201,187
202,187
203,187
204,187
205,187
206,187
207,187
208,187
209,187
210,187
211,187
212,187
213,187
214,187
215,187
216,187
217,187
218,187
219,187
220,187
221,187
222,187
223,187
224,187
225,187
226,187
227,187
228,187
229,187
230,187
231,187
232,187
233,187
234,187
235,187
236,187
237,187
238,187
239,187
240,187
241,187
242,187
243,186
244,243
245,243
246,243
247,243
248,243
249,243
250,243
251,243
252,243
253,243
254,243
255,243
256,243
257,243
258,243
259,243
260,243
261,243
262,243
263,243
264,243
265,243
266,243
267,243
268,243
269,243
270,243
271,243
272,243
273,243
274,243
275,243
276,243
277,243
278,243
279,243
280,243
281,243
282,243
283,243
284,243
285,243
286,243
287,243
288,243
289,243
290,243
291,243
292,243
293,243
294,243
295,243
296,243
297,243
298,243
299,243
300,243
301,243
302,243
303,243
304,243
305,243
306,243
307,243
308,243
309,243
310,243
311,243
312,243
313,243
314,243
315,243
316,243
317,243
318,243
319,243
320,243
321,243
322,243
323,243
324,243
325,243
326,243
327,243
328,243
329,243
330,243
331,243
332,243
333,243
334,243
335,243
336,243
337,243
338,243
339,243
340,243
341,243
342,243
343,243
345,344
346,345
347,345
348,345
349,345
350,345
351,345
352,345
353,345
354,345
355,345
356,345
357,345
358,345
359,345
360,345
361,345
362,345
363,345
364,345
365,345
366,345
367,345
368,345
369,345
370,345
371,345
372,345
373,345
374,345
375,345
376,345
377,345
378,345
379,345
380,345
381,345
382,345
383,345
384,345
385,345
386,345
387,345
388,345
389,345
390,345
391,345
392,345
393,345
394,345
395,345
396,345
397,345
398,345
399,345
400,345
401,345
402,345
403,345
404,345
405,345
406,345
407,345
408,345
409,345
410,345
411,345
412,345
413,345
414,345
415,345
416,345
417,345
418,345
419,345
420,345
421,345
422,345
423,345
424,345
425,345
426,345
427,345
428,345
429,345
430,345
431,345
432,345
433,345
434,345
435,345
436,345
437,345
438,345
439,345
440,345
441,345
442,345
443,345
444,345
445,345
