user_id,item_id,score
730,13,1.0
1036,4,1.0
3507,8,0.0
3134,16,0.0
2642,17,0.666666666666667
334,11,1.0
2409,13,1.0
116,6,1.0
2476,4,0.0
1887,2,1.0
329,5,0.0
3690,5,1.0
1815,10,1.0
1990,11,0.0
2281,3,0.0
1727,6,1.0
2043,20,0.0
235,5,1.0
1319,6,0.0
457,11,1.0
2807,19,1.0
3337,3,1.0
1422,12,1.0
142,18,1.0
1266,11,1.0
1287,6,1.0
2895,7,0.0
2577,7,0.0
2185,14,0.0
1972,9,0.0
2639,17,0.25
1751,10,1.0
3076,7,1.0
2752,5,0.0
2642,3,0.0
2813,7,0.0
1961,17,0.833333333333333
1995,7,1.0
2240,10,0.0
2940,2,1.0
3227,18,0.5
3517,13,1.0
3232,3,0.0
2585,14,0.0
3637,4,1.0
2244,20,0.5
1452,1,1.0
2846,13,1.0
1890,8,0.0
208,11,0.0
2155,20,0.0
111,9,1.0
1347,13,0.0
3839,6,0.0
824,12,1.0
1906,13,1.0
2522,12,0.0
3665,11,0.0
2540,18,0.0
1311,14,0.0
2088,11,1.0
595,18,0.0
647,19,0.5
1318,19,1.0
2179,17,0.25
1311,5,1.0
2164,16,0.0
1804,13,0.0
678,11,0.0
2179,9,1.0
2101,7,1.0
3107,16,1.0
1264,17,1.0
453,7,1.0
3849,3,0.0
1284,19,0.5
1738,5,1.0
2969,7,1.0
464,11,0.0
1767,4,1.0
952,8,0.0
522,4,1.0
1549,6,0.0
2439,1,1.0
1400,17,1.0
1613,9,1.0
2082,20,0.0
3289,14,0.0
256,7,1.0
648,20,0.0
1465,16,1.0
904,11,0.0
1828,5,0.0
2448,20,0.0
3292,9,0.0
3450,8,0.0
1627,15,1.0
2728,13,0.0
1050,15,0.0
3609,20,0.333333333333333
2192,4,1.0
967,18,0.833333333333333
968,3,1.0
295,2,1.0
1242,5,0.0
3547,17,0.0
982,6,1.0
2909,11,0.0
941,14,0.0
3359,4,0.0
3163,13,1.0
2712,14,0.0
1865,20,0.0
2893,11,1.0
167,17,0.666666666666667
1884,8,0.0
1287,11,1.0
780,1,1.0
309,1,1.0
3167,2,0.0
558,13,0.0
70,14,0.0
2402,11,0.0
730,20,0.0
1068,14,0.0
913,12,0.0
2850,20,0.5
526,9,0.0
1274,12,1.0
3495,14,0.0
931,5,0.0
1755,6,0.0
1514,17,1.0
163,6,1.0
2529,15,0.0
112,8,0.0
3010,10,1.0
1189,17,0.0
3721,10,0.0
2981,5,1.0
2338,1,1.0
521,12,1.0
3490,10,0.0
2439,20,0.0
1907,7,0.0
1712,4,1.0
1935,9,1.0
2508,5,0.0
135,8,0.0
3177,8,0.0
2711,11,0.0
3496,4,1.0
534,17,0.333333333333333
3462,6,1.0
3402,19,0.0
1277,17,0.333333333333333
1936,5,0.0
1373,10,1.0
1181,7,1.0
3396,14,0.0
3379,1,1.0
3324,7,0.0
423,18,0.5
