knowledge_code,parent
2,1
3,99
4,97
5,2
6,2
7,2
8,2
9,2
10,2
11,233
12,2
13,2
14,2
15,2
16,10
17,2
18,1
19,103
20,103
21,104
22,104
23,18
24,18
25,108
26,108
27,108
28,18
29,106
30,18
31,18
32,105
33,105
34,105
35,105
36,106
37,18
38,105
39,31
40,1
41,215
42,43
43,40
44,124
45,43
46,40
47,43
48,40
49,216
50,18
51,40
52,120
53,122
54,124
55,122
56,120
57,215
58,216
59,40
60,222
61,222
62,222
63,222
64,222
65,40
66,40
67,40
68,40
69,1
70,239
71,239
72,243
73,243
74,243
75,243
76,243
77,243
78,246
79,246
80,246
81,69
82,239
83,243
84,243
85,243
86,243
87,1
88,98
89,87
90,87
91,87
92,87
93,100
94,87
95,87
96,87
97,2
98,87
99,2
100,87
101,1
102,1
103,18
104,18
105,18
106,18
107,106
108,18
109,108
110,108
111,37
112,37
113,28
114,28
115,28
116,28
117,30
118,30
119,30
120,40
121,120
122,40
123,122
124,40
125,124
126,43
127,43
128,43
129,43
130,46
131,46
132,46
133,46
134,68
135,68
136,51
137,51
138,51
139,51
140,66
141,66
142,66
143,66
144,66
145,99
146,99
147,99
148,99
149,99
150,99
151,99
152,99
153,66
154,12
155,12
156,12
157,97
158,97
159,97
160,97
161,5
162,5
163,7
164,7
165,7
166,6
167,6
168,6
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,13
178,13
179,13
180,13
181,8
182,8
183,8
184,15
185,15
186,15
187,14
188,14
189,10
190,10
191,10
192,17
193,17
194,17
195,31
196,31
197,31
198,104
199,18
200,104
201,23
202,23
203,23
204,23
205,23
206,23
207,23
208,23
209,24
210,24
211,24
212,24
213,48
214,48
215,40
216,40
217,216
218,216
219,59
220,59
221,59
222,40
223,65
224,65
225,65
226,65
227,67
228,67
229,101
230,102
231,102
232,102
233,2
234,233
235,15
236,103
237,81
238,81
239,69
240,239
241,239
242,239
243,69
244,243
245,243
246,69
247,246
248,246
249,246
250,246
251,246
252,98
253,98
254,94
255,94
256,94
257,94
258,89
259,89
260,89
261,89
262,89
263,89
264,89
265,89
266,91
267,50
268,50
269,50
270,50
271,50
272,87
273,272
274,95
275,95
276,95
277,90
278,90
279,90
280,100
281,100
282,100
283,100
284,43
285,96
286,96
287,92
288,92
289,92
290,87
291,290
292,89
293,230
294,231
295,232
296,229
297,229
298,105
299,24
300,124
301,23
302,122
303,371
304,303
305,304
306,15
307,105
308,199
309,199
310,199
311,199
312,31
313,8
314,1
315,2
316,5
317,6
318,7
319,8
320,9
321,10
322,12
323,13
324,14
325,15
326,17
327,18
328,23
329,24
330,28
331,30
332,31
333,37
334,40
335,43
336,46
337,48
338,50
339,51
340,59
341,65
342,66
343,67
344,68
345,69
346,81
347,87
348,96
349,97
350,98
351,99
352,100
353,102
354,103
355,104
356,105
357,106
358,108
359,120
360,122
361,124
362,199
363,215
364,216
365,222
366,233
367,239
368,243
369,246
370,99
372,15
373,68
374,68
375,243
376,65
377,94
378,99
379,48
380,99
381,81
382,12
383,2
384,9
385,23
386,66
387,120
388,120
