item_id,knowledge_code
1,[44]
2,[73]
3,[212]
4,[191]
5,[151]
6,[169]
7,[33]
8,[33]
9,[158]
10,[38]
11,[135]
12,[147]
13,[226]
14,[33]
15,[70]
16,[157]
17,[167]
18,[172]
19,[63]
20,[150]
21,[235]
22,"[163, 165]"
23,[123]
24,[177]
25,[57]
26,[36]
27,[19]
28,[158]
29,[148]
30,"[147, 148]"
31,"[109, 208]"
32,"[84, 240]"
33,[210]
34,[85]
35,[29]
36,[146]
37,[33]
38,[238]
39,[174]
40,[148]
41,[153]
42,[147]
43,[178]
44,[60]
45,[34]
46,[63]
47,[148]
48,[70]
49,[134]
50,[177]
51,[169]
52,[118]
53,[80]
54,[135]
55,[148]
56,[191]
57,[164]
58,[181]
59,[147]
60,[242]
61,[174]
62,[153]
63,[83]
64,[151]
65,[209]
66,[191]
67,[187]
68,[56]
69,[134]
70,[34]
71,[163]
72,[114]
73,[147]
74,[34]
75,[178]
76,[33]
77,[147]
78,"[127, 129]"
79,[176]
80,[118]
81,[3]
82,[217]
83,[38]
84,[151]
85,[138]
86,[228]
87,[169]
88,[54]
89,[21]
90,[204]
91,[203]
92,[203]
93,[180]
94,"[44, 125, 361]"
95,[190]
96,"[191, 196, 197]"
97,[146]
98,[123]
99,[148]
100,[71]
101,[170]
102,[182]
103,[173]
104,[147]
105,[39]
106,[70]
107,[165]
108,[153]
109,[284]
110,"[19, 114]"
111,[79]
112,"[36, 178]"
113,[148]
114,[192]
115,[248]
116,[158]
117,"[146, 157]"
118,[148]
119,[388]
120,[223]
121,[4]
122,[52]
123,[19]
124,[223]
125,[205]
126,[155]
127,[147]
128,[147]
129,[161]
130,[83]
131,"[169, 171]"
132,[16]
133,[195]
134,[127]
135,[126]
136,[309]
137,[156]
138,[242]
139,[143]
140,[245]
141,[16]
142,[125]
143,[191]
144,[123]
145,[234]
146,[146]
147,[45]
148,[186]
149,[36]
150,[44]
151,"[308, 309]"
152,[175]
153,[157]
154,[174]
155,"[63, 227]"
156,[168]
157,[299]
158,[152]
159,[195]
160,[3]
161,"[63, 338]"
162,[135]
163,[129]
164,[177]
165,[181]
166,[284]
167,"[245, 251]"
168,[42]
169,[219]
170,[76]
171,[147]
172,[4]
173,[154]
174,"[184, 235]"
175,[158]
176,[223]
177,[191]
178,"[34, 212]"
179,[153]
180,[309]
181,[153]
182,[70]
183,[184]
184,[188]
185,[169]
186,[148]
187,[127]
188,[169]
189,[117]
190,[209]
191,[188]
192,[298]
193,[128]
194,[191]
195,[191]
196,[164]
197,[153]
198,[334]
199,[372]
200,[177]
201,[77]
202,[74]
203,[128]
204,[60]
205,[25]
206,[148]
207,[164]
208,[130]
209,[194]
210,[123]
211,[29]
212,[261]
213,[117]
214,[58]
215,[180]
216,[109]
217,[145]
218,[138]
219,[25]
220,[4]
221,[163]
222,[213]
223,[135]
224,[135]
225,[129]
226,[150]
227,"[164, 165]"
228,"[147, 148]"
229,[181]
230,[135]
231,[151]
232,[123]
233,[238]
234,[177]
235,[203]
236,[148]
237,[54]
238,[146]
239,[155]
240,[147]
241,[191]
242,[154]
243,"[167, 168]"
244,[146]
245,[19]
246,[175]
247,[19]
248,[373]
249,[129]
250,[238]
251,[172]
252,[214]
253,[267]
254,[283]
255,[300]
256,"[169, 170]"
257,[16]
258,[56]
259,[228]
260,[117]
261,[16]
262,[117]
263,[3]
264,[351]
265,[44]
266,[76]
267,"[147, 149]"
268,[226]
269,[189]
270,[157]
271,[77]
272,[26]
273,[165]
274,[187]
275,[54]
276,[163]
277,"[146, 181]"
278,[75]
279,[206]
280,[147]
281,[78]
282,[228]
283,[72]
284,"[109, 217]"
285,[115]
286,[223]
287,[248]
288,[167]
289,[177]
290,[134]
291,[238]
292,"[181, 182]"
293,[241]
294,[169]
295,[116]
296,[284]
297,[36]
298,[187]
299,[58]
300,[149]
301,[206]
302,[187]
303,[29]
304,[235]
305,[185]
306,[228]
307,[174]
308,[185]
309,[169]
310,[63]
311,[154]
312,[181]
313,[123]
314,[164]
315,[189]
316,[3]
317,[219]
318,[62]
319,[169]
320,[22]
321,[203]
322,[195]
323,[33]
324,[70]
325,[33]
326,[33]
327,[221]
328,[172]
329,[177]
330,[36]
331,[175]
332,[70]
333,[314]
334,[140]
335,[240]
336,[149]
337,[156]
338,[200]
339,[269]
340,"[169, 171]"
341,[205]
342,[20]
343,[54]
344,"[202, 203]"
345,[370]
346,[187]
347,[224]
348,[213]
349,[146]
350,[153]
351,[195]
352,[223]
353,[171]
354,[34]
355,[192]
356,[147]
357,[374]
358,[151]
359,[235]
360,[117]
361,[113]
362,[146]
363,[38]
364,[177]
365,[157]
366,[172]
367,[45]
368,[133]
369,[128]
370,[224]
371,[172]
372,[181]
373,[153]
374,[151]
375,"[192, 193]"
376,"[135, 142]"
377,"[44, 184]"
378,[33]
379,[182]
380,[174]
381,[4]
382,[313]
383,[152]
384,[145]
385,[147]
386,[187]
387,[155]
388,[140]
389,[110]
390,[188]
391,[147]
392,[309]
393,[181]
394,[150]
395,[170]
396,[4]
397,[180]
398,[195]
399,[3]
400,[117]
401,[72]
402,[148]
403,[143]
404,[172]
405,"[155, 156]"
406,[38]
407,[245]
408,[148]
409,[163]
410,[184]
411,[142]
412,[128]
413,[32]
414,[164]
415,[127]
416,[180]
417,[178]
418,[180]
419,[113]
420,"[19, 20, 21, 22]"
421,[140]
422,"[159, 160]"
423,[111]
424,[123]
425,[126]
426,[27]
427,[11]
428,[154]
429,[74]
430,[187]
431,[146]
432,"[49, 218]"
433,"[49, 284]"
434,[277]
435,[169]
436,[190]
437,[140]
438,[191]
439,[147]
440,[113]
441,[147]
442,"[111, 210]"
443,"[63, 343]"
444,[79]
445,[44]
446,[60]
447,[165]
448,[148]
449,[338]
450,[174]
451,[16]
452,[185]
453,[117]
454,[16]
455,[126]
456,[111]
457,[167]
458,[33]
459,[147]
460,[126]
461,[57]
462,[158]
463,[152]
464,[245]
465,[145]
466,"[63, 343]"
467,[36]
468,[157]
469,[57]
470,[200]
471,[146]
472,[117]
473,[45]
474,[201]
475,[213]
476,[164]
477,[153]
478,[52]
479,[169]
480,"[182, 325]"
481,[172]
482,[135]
