knowledge_code,name,parent,level
1,Maths,,0
2,Number,1.0,1
3,BIDMAS,99.0,3
4,Upper and Lower Bounds,97.0,3
5,Calculator Use,2.0,2
6,Decimals,2.0,2
7,"Factors, Multiples and Primes",2.0,2
8,"Fractions, Decimals and Percentage Equivalence",2.0,2
9,Fractions,2.0,2
10,"Indices, Powers and Roots",2.0,2
11,Basic Money,233.0,3
12,Negative Numbers,2.0,2
13,Percentages,2.0,2
14,Proportion,2.0,2
15,Ratio,2.0,2
16,Standard Form,10.0,3
17,Surds,2.0,2
18,Algebra,1.0,1
19,Expanding Single Brackets,103.0,3
20,Expanding Double Brackets,103.0,3
21,Factorising into a Single Bracket,104.0,3
22,Factorising into a Double Bracket,104.0,3
23,Straight Line Graphs,18.0,2
24,Quadratic Graphs,18.0,2
25,Graphs of Trigonometric Functions,108.0,3
26,Cubics and Reciprocals,108.0,3
27,Real Life Graphs,108.0,3
28,Inequalities,18.0,2
29,Rearranging Formula and Equations,106.0,3
30,Sequences,18.0,2
31,Writing and Simplifying Expressions,18.0,2
32,Simultaneous Equations,105.0,3
33,Linear Equations,105.0,3
34,Quadratic Equations,105.0,3
35,Solving Other Powers of x,105.0,3
36,Substitution into Formula,106.0,3
37,Transformation of Functions,18.0,2
38,Trial and Improvement and Iterative Methods,105.0,3
39,Writing Expressions,31.0,3
40,Geometry and Measure,1.0,1
41,3D Pythagoras,215.0,3
42,"Types, Naming and Estimating",43.0,3
43,Angles,40.0,2
44,Area of Simple Shapes,124.0,3
45,Bearings,43.0,3
46,Circles,40.0,2
47,Circle Theorems,43.0,3
48,Compound Measures,40.0,2
49,Congruency in Triangles,216.0,3
50,Co-ordinates,18.0,2
51,"Construction, Loci and Scale Drawing",40.0,2
52,Properties of Polygons,120.0,3
53,Nets,122.0,3
54,Perimeter,124.0,3
55,Plans and Elevations,122.0,3
56,Properties of Quadrilaterals,120.0,3
57,2D Pythagoras,215.0,3
58,Length Scale Factors in Similar Shapes,216.0,3
59,Symmetry,40.0,2
60,Reflection,222.0,3
61,Rotation,222.0,3
62,Enlargement,222.0,3
63,Translation and Vectors,222.0,3
64,Combined Transformations,222.0,3
65,Basic Trigonometry,40.0,2
66,Units of Measurement,40.0,2
67,Basic Vectors,40.0,2
68,Volume and Surface Area,40.0,2
69,Data and Statistics,1.0,1
70,"Averages (mean, median, mode) from a List of Data",239.0,3
71,Averages and Range from Grouped Data,239.0,3
72,Box Plots,243.0,3
73,Cumulative Frequency Diagram,243.0,3
74,Block Graphs and Bar Charts,243.0,3
75,Histogram,243.0,3
76,Pictogram,243.0,3
77,Pie Chart,243.0,3
78,Experimental Probability and Relative Frequency,246.0,3
79,Probability of Single Events,246.0,3
80,Tree Diagrams with Dependent Events,246.0,3
81,Data Collection,69.0,2
82,Sampling and Bias,239.0,3
83,Scatter Diagram,243.0,3
84,Stem and Leaf Diagram,243.0,3
85,Time Series and Line Graphs,243.0,3
86,Two Way Tables,243.0,3
87,Advanced Pure,1.0,1
88,Factor Theorem,98.0,3
89,Differentiation,87.0,2
90,Exponentials and Logarithms,87.0,2
91,Integration,87.0,2
92,Matrices,87.0,2
93,Modulus Function,100.0,3
94,Sequences and Series,87.0,2
95,Advanced Trigonometry,87.0,2
96,Advanced Vectors,87.0,2
97,Rounding and Estimating,2.0,2
98,Advanced Algebra,87.0,2
99,Basic Arithmetic,2.0,2
100,Functions,87.0,2
101,Advanced Mechanics,1.0,1
102,Advanced Statistics,1.0,1
103,Expanding Brackets,18.0,2
104,Factorising,18.0,2
105,Solving Equations,18.0,2
106,Formula,18.0,2
107,Writing Formula,106.0,3
108,Other Graphs,18.0,2
109,Equation of a Circle,108.0,3
110,Graphs of Exponentials and Other Powers of x,108.0,3
111,Transformations of functions in the form y =,37.0,3
112,Transformations of functions in the form f(x),37.0,3
113,Inequalities on Number Lines,28.0,3
114,Solving Linear Inequalities,28.0,3
115,Graphing Linear Inequalities (Shading Regions),28.0,3
116,Solving Quadratic Inequalities,28.0,3
117,Linear Sequences (nth term),30.0,3
118,Quadratic Sequences,30.0,3
119,Other Sequences,30.0,3
120,2D Names and Properties of Shapes,40.0,2
121,Properties of Triangles,120.0,3
122,3D Shapes,40.0,2
